1.13,>,2.18,deduced
1.13,>,2.19,deduced
1.13,>,2.20,deduced
1.13,>,2.21,deduced
1.13,>,2.22,deduced
1.13,>,2.23,deduced
1.14,!,2.19,deduced
1.14,!,2.21,deduced
1.15,!,2.18,deduced
1.15,!,2.22,deduced
1.15,!,2.23,deduced
1.16,!,2.18,deduced
1.16,!,2.21,deduced
1.14,<,2.17,inferred
1.14,!,2.22,inferred
1.14,!,2.23,inferred
1.15,<,2.17,inferred
1.15,!,2.19,inferred
1.16,<,2.17,inferred
1.13,=,2.17,input
1.14,=,2.18,input
1.14,!,2.20,input
1.15,<,2.20,input
1.15,=,2.21,input
1.16,>,2.19,input
1.16,><,2.20,input
1.16,>,2.22,input
1.16,>,2.23,input
